ID,Number,Name,Type1,Type2,Total,HP,Atk,Def,SpAtk,SpDef,Spd,Species,Height,Weight
503,417,Pachirisu,Electric,,405,60,45,70,45,90,95,EleSquirrel Pokémon,0.4 m,3.9 kg
504,418,Buizel,Water,,330,55,65,35,60,30,85,Sea Weasel Pokémon,0.7 m,29.5 kg
505,419,Floatzel,Water,,495,85,105,55,85,50,115,Sea Weasel Pokémon,1.1 m,33.5 kg
506,420,Cherubi,Grass,,275,45,35,45,62,53,35,Cherry Pokémon,0.4 m,3.3 kg
507,421,Cherrim,Grass,,450,70,60,70,87,78,85,Blossom Pokémon,0.5 m,9.3 kg
508,422,Shellos,Water,,325,76,48,48,57,62,34,Sea Slug Pokémon,0.3 m,6.3 kg
509,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,Sea Slug Pokémon,0.9 m,29.9 kg
510,424,Ambipom,Normal,,482,75,100,66,60,66,115,Long Tail Pokémon,1.2 m,20.3 kg
511,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,Balloon Pokémon,0.4 m,1.2 kg
512,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,Blimp Pokémon,1.2 m,15.0 kg
513,427,Buneary,Normal,,350,55,66,44,44,56,85,Rabbit Pokémon,0.4 m,5.5 kg
514,428,Lopunny,Normal,,480,65,76,84,54,96,105,Rabbit Pokémon,1.2 m,33.3 kg
515,428,Lopunny(Mega Lopunny),Normal,Fighting,580,65,136,94,54,96,135,Rabbit Pokémon,1.3 m,28.3 kg
516,429,Mismagius,Ghost,,495,60,60,60,105,105,105,Magical Pokémon,0.9 m,4.4 kg
517,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,Big Boss Pokémon,0.9 m,27.3 kg
518,431,Glameow,Normal,,310,49,55,42,42,37,85,Catty Pokémon,0.5 m,3.9 kg
519,432,Purugly,Normal,,452,71,82,64,64,59,112,Tiger Cat Pokémon,1.0 m,43.8 kg
520,433,Chingling,Psychic,,285,45,30,50,65,50,45,Bell Pokémon,0.2 m,0.6 kg
521,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,Skunk Pokémon,0.4 m,19.2 kg
522,435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,Skunk Pokémon,1.0 m,38.0 kg
523,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,Bronze Pokémon,0.5 m,60.5 kg
524,437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,Bronze Bell Pokémon,1.3 m,187.0 kg
525,438,Bonsly,Rock,,290,50,80,95,10,45,10,Bonsai Pokémon,0.5 m,15.0 kg
526,439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,Mime Pokémon,0.6 m,13.0 kg
527,440,Happiny,Normal,,220,100,5,5,15,65,30,Playhouse Pokémon,0.6 m,24.4 kg
528,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,Music Note Pokémon,0.5 m,1.9 kg
529,442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,Forbidden Pokémon,1.0 m,108.0 kg
530,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,Land Shark Pokémon,0.7 m,20.5 kg
531,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,Cave Pokémon,1.4 m,56.0 kg
532,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,Mach Pokémon,1.9 m,95.0 kg
533,445,Garchomp(Mega Garchomp),Dragon,Ground,700,108,170,115,120,95,92,Mach Pokémon,1.9 m,95.0 kg
534,446,Munchlax,Normal,,390,135,85,40,40,85,5,Big Eater Pokémon,0.6 m,105.0 kg
535,447,Riolu,Fighting,,285,40,70,40,35,40,60,Emanation Pokémon,0.7 m,20.2 kg
536,448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,Aura Pokémon,1.2 m,54.0 kg
537,448,Lucario(Mega Lucario),Fighting,Steel,625,70,145,88,140,70,112,Aura Pokémon,1.3 m,57.5 kg
538,449,Hippopotas,Ground,,330,68,72,78,38,42,32,Hippo Pokémon,0.8 m,49.5 kg
539,450,Hippowdon,Ground,,525,108,112,118,68,72,47,Heavyweight Pokémon,2.0 m,300.0 kg
540,451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,Scorpion Pokémon,0.8 m,12.0 kg
541,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,Ogre Scorp Pokémon,1.3 m,61.5 kg
542,453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,Toxic Mouth Pokémon,0.7 m,23.0 kg
543,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,Toxic Mouth Pokémon,1.3 m,44.4 kg
544,455,Carnivine,Grass,,454,74,100,72,90,72,46,Bug Catcher Pokémon,1.4 m,27.0 kg
545,456,Finneon,Water,,330,49,49,56,49,61,66,Wing Fish Pokémon,0.4 m,7.0 kg
546,457,Lumineon,Water,,460,69,69,76,69,86,91,Neon Pokémon,1.2 m,24.0 kg
547,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,Kite Pokémon,1.0 m,65.0 kg
548,459,Snover,Grass,Ice,334,60,62,50,62,60,40,Frost Tree Pokémon,1.0 m,50.5 kg
549,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,Frost Tree Pokémon,2.2 m,135.5 kg
550,460,Abomasnow(Mega Abomasnow),Grass,Ice,594,90,132,105,132,105,30,Frost Tree Pokémon,2.7 m,185.0 kg
551,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,Sharp Claw Pokémon,1.1 m,34.0 kg
552,462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,Magnet Area Pokémon,1.2 m,180.0 kg
553,463,Lickilicky,Normal,,515,110,85,95,80,95,50,Licking Pokémon,1.7 m,140.0 kg
554,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,Drill Pokémon,2.4 m,282.8 kg
555,465,Tangrowth,Grass,,535,100,100,125,110,50,50,Vine Pokémon,2.0 m,128.6 kg
556,466,Electivire,Electric,,540,75,123,67,95,85,95,Thunderbolt Pokémon,1.8 m,138.6 kg
557,467,Magmortar,Fire,,540,75,95,67,125,95,83,Blast Pokémon,1.6 m,68.0 kg
558,468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,Jubilee Pokémon,1.5 m,38.0 kg
559,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,Ogre Darner Pokémon,1.9 m,51.5 kg
560,470,Leafeon,Grass,,525,65,110,130,60,65,95,Verdant Pokémon,1.0 m,25.5 kg
561,471,Glaceon,Ice,,525,65,60,110,130,95,65,Fresh Snow Pokémon,0.8 m,25.9 kg
562,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,Fang Scorp Pokémon,2.0 m,42.5 kg
563,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,Twin Tusk Pokémon,2.5 m,291.0 kg
564,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,Virtual Pokémon,0.9 m,34.0 kg
565,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,Blade Pokémon,1.6 m,52.0 kg
566,475,Gallade(Mega Gallade),Psychic,Fighting,618,68,165,95,65,115,110,Blade Pokémon,1.6 m,56.4 kg
567,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,Compass Pokémon,1.4 m,340.0 kg
568,477,Dusknoir,Ghost,,525,45,100,135,65,135,45,Gripper Pokémon,2.2 m,106.6 kg
569,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,Snow Land Pokémon,1.3 m,26.6 kg
570,479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,Plasma Pokémon,0.3 m,0.3 kg
571,479,Rotom(Heat Rotom),Electric,Fire,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m,0.3 kg
572,479,Rotom(Wash Rotom),Electric,Water,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m,0.3 kg
573,479,Rotom(Frost Rotom),Electric,Ice,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m,0.3 kg
574,479,Rotom(Fan Rotom),Electric,Flying,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m,0.3 kg
575,479,Rotom(Mow Rotom),Electric,Grass,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m,0.3 kg
576,480,Uxie,Psychic,,580,75,75,130,75,130,95,Knowledge Pokémon,0.3 m,0.3 kg
577,481,Mesprit,Psychic,,580,80,105,105,105,105,80,Emotion Pokémon,0.3 m,0.3 kg
578,482,Azelf,Psychic,,580,75,125,70,125,70,115,Willpower Pokémon,0.3 m,0.3 kg
579,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,Temporal Pokémon,5.4 m,683.0 kg
580,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,Spatial Pokémon,4.2 m,336.0 kg
581,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,Lava Dome Pokémon,1.7 m,430.0 kg
582,486,Regigigas,Normal,,670,110,160,110,80,110,100,Colossal Pokémon,3.7 m,420.0 kg
583,487,Giratina(Altered Forme),Ghost,Dragon,680,150,100,120,100,120,90,Renegade Pokémon,4.5 m,750.0 kg
584,487,Giratina(Origin Forme),Ghost,Dragon,680,150,120,100,120,100,90,Renegade Pokémon,6.9 m,650.0 kg
585,488,Cresselia,Psychic,,600,120,70,120,75,130,85,Lunar Pokémon,1.5 m,85.6 kg
586,489,Phione,Water,,480,80,80,80,80,80,80,Sea Drifter Pokémon,0.4 m,3.1 kg
587,490,Manaphy,Water,,600,100,100,100,100,100,100,Seafaring Pokémon,0.3 m,1.4 kg
588,491,Darkrai,Dark,,600,70,90,90,135,90,125,Pitch-Black Pokémon,1.5 m,50.5 kg
589,492,Shaymin(Land Forme),Grass,,600,100,100,100,100,100,100,Gratitude Pokémon,0.2 m,2.1 kg
590,492,Shaymin(Sky Forme),Grass,Flying,600,100,103,75,120,75,127,Gratitude Pokémon,0.4 m,5.2 kg
591,493,Arceus,Normal,,720,120,120,120,120,120,120,Alpha Pokémon,3.2 m,320.0 kg
592,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,Victory Pokémon,0.4 m,4.0 kg
593,495,Snivy,Grass,,308,45,45,55,45,55,63,Grass Snake Pokémon,0.6 m,8.1 kg
594,496,Servine,Grass,,413,60,60,75,60,75,83,Grass Snake Pokémon,0.8 m,16.0 kg
595,497,Serperior,Grass,,528,75,75,95,75,95,113,Regal Pokémon,3.3 m,63.0 kg
596,498,Tepig,Fire,,308,65,63,45,45,45,45,Fire Pig Pokémon,0.5 m,9.9 kg
597,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,Fire Pig Pokémon,1.0 m,55.5 kg
598,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,Mega Fire Pig Pokémon,1.6 m,150.0 kg
599,501,Oshawott,Water,,308,55,55,45,63,45,45,Sea Otter Pokémon,0.5 m,5.9 kg
600,502,Dewott,Water,,413,75,75,60,83,60,60,Discipline Pokémon,0.8 m,24.5 kg
601,503,Samurott,Water,,528,95,100,85,108,70,70,Formidable Pokémon,1.5 m,94.6 kg
602,504,Patrat,Normal,,255,45,55,39,35,39,42,Scout Pokémon,0.5 m,11.6 kg
603,505,Watchog,Normal,,420,60,85,69,60,69,77,Lookout Pokémon,1.1 m,27.0 kg
604,506,Lillipup,Normal,,275,45,60,45,25,45,55,Puppy Pokémon,0.4 m,4.1 kg
605,507,Herdier,Normal,,370,65,80,65,35,65,60,Loyal Dog Pokémon,0.9 m,14.7 kg
606,508,Stoutland,Normal,,500,85,110,90,45,90,80,Big-Hearted Pokémon,1.2 m,61.0 kg
607,509,Purrloin,Dark,,281,41,50,37,50,37,66,Devious Pokémon,0.4 m,10.1 kg
608,510,Liepard,Dark,,446,64,88,50,88,50,106,Cruel Pokémon,1.1 m,37.5 kg
609,511,Pansage,Grass,,316,50,53,48,53,48,64,Grass Monkey Pokémon,0.6 m,10.5 kg
610,512,Simisage,Grass,,498,75,98,63,98,63,101,Thorn Monkey Pokémon,1.1 m,30.5 kg
611,513,Pansear,Fire,,316,50,53,48,53,48,64,High Temp Pokémon,0.6 m,11.0 kg
612,514,Simisear,Fire,,498,75,98,63,98,63,101,Ember Pokémon,1.0 m,28.0 kg
613,515,Panpour,Water,,316,50,53,48,53,48,64,Spray Pokémon,0.6 m,13.5 kg
614,516,Simipour,Water,,498,75,98,63,98,63,101,Geyser Pokémon,1.0 m,29.0 kg
615,517,Munna,Psychic,,292,76,25,45,67,55,24,Dream Eater Pokémon,0.6 m,23.3 kg
616,518,Musharna,Psychic,,487,116,55,85,107,95,29,Drowsing Pokémon,1.1 m,60.5 kg
617,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,Tiny Pigeon Pokémon,0.3 m,2.1 kg
618,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,Wild Pigeon Pokémon,0.6 m,15.0 kg
619,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,Proud Pokémon,1.2 m,29.0 kg
620,522,Blitzle,Electric,,295,45,60,32,50,32,76,Electrified Pokémon,0.8 m,29.8 kg
621,523,Zebstrika,Electric,,497,75,100,63,80,63,116,Thunderbolt Pokémon,1.6 m,79.5 kg
622,524,Roggenrola,Rock,,280,55,75,85,25,25,15,Mantle Pokémon,0.4 m,18.0 kg
623,525,Boldore,Rock,,390,70,105,105,50,40,20,Ore Pokémon,0.9 m,102.0 kg
624,526,Gigalith,Rock,,515,85,135,130,60,80,25,Compressed Pokémon,1.7 m,260.0 kg
625,527,Woobat,Psychic,Flying,323,65,45,43,55,43,72,Bat Pokémon,0.4 m,2.1 kg
626,528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,Courting Pokémon,0.9 m,10.5 kg
627,529,Drilbur,Ground,,328,60,85,40,30,45,68,Mole Pokémon,0.3 m,8.5 kg
628,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,Subterrene Pokémon,0.7 m,40.4 kg
629,531,Audino,Normal,,445,103,60,86,60,86,50,Hearing Pokémon,1.1 m,31.0 kg
630,531,Audino(Mega Audino),Normal,Fairy,545,103,60,126,80,126,50,Hearing Pokémon,1.5 m,32.0 kg
631,532,Timburr,Fighting,,305,75,80,55,25,35,35,Muscular Pokémon,0.6 m,12.5 kg
632,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,Muscular Pokémon,1.2 m,40.0 kg
633,534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,Muscular Pokémon,1.4 m,87.0 kg
634,535,Tympole,Water,,294,50,50,40,50,40,64,Tadpole Pokémon,0.5 m,4.5 kg
635,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,Vibration Pokémon,0.8 m,17.0 kg
636,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,Vibration Pokémon,1.5 m,62.0 kg
637,538,Throh,Fighting,,465,120,100,85,30,85,45,Judo Pokémon,1.3 m,55.5 kg
638,539,Sawk,Fighting,,465,75,125,75,30,75,85,Karate Pokémon,1.4 m,51.0 kg
639,540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,Sewing Pokémon,0.3 m,2.5 kg
640,541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,Leaf-Wrapped Pokémon,0.5 m,7.3 kg
641,542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,Nurturing Pokémon,1.2 m,20.5 kg
642,543,Venipede,Bug,Poison,260,30,45,59,30,39,57,Centipede Pokémon,0.4 m,5.3 kg
643,544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,Curlipede Pokémon,1.2 m,58.5 kg
644,545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,Megapede Pokémon,2.5 m,200.5 kg
645,546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,Cotton Puff Pokémon,0.3 m,0.6 kg
646,547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,Windveiled Pokémon,0.7 m,6.6 kg
647,548,Petilil,Grass,,280,45,35,50,70,50,30,Bulb Pokémon,0.5 m,6.6 kg
648,549,Lilligant,Grass,,480,70,60,75,110,75,90,Flowering Pokémon,1.1 m,16.3 kg
649,550,Basculin(Red-Striped Form),Water,,460,70,92,65,80,55,98,Hostile Pokémon,1.0 m,18.0 kg
650,550,Basculin(Blue-Striped Form),Water,,460,70,92,65,80,55,98,Hostile Pokémon,1.0 m,18.0 kg
651,551,Sandile,Ground,Dark,292,50,72,35,35,35,65,Desert Croc Pokémon,0.7 m,15.2 kg
652,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,Desert Croc Pokémon,1.0 m,33.4 kg
653,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,Intimidation Pokémon,1.5 m,96.3 kg
654,554,Darumaka,Fire,,315,70,90,45,15,45,50,Zen Charm Pokémon,0.6 m,37.5 kg
655,554,Darumaka(Galarian Darumaka),Ice,,315,70,90,45,15,45,50,Zen Charm Pokémon,0.7 m,40.0 kg
656,555,Darmanitan(Standard Mode),Fire,,480,105,140,55,30,55,95,Blazing Pokémon,1.3 m,92.9 kg
657,555,Darmanitan(Zen Mode),Fire,Psychic,540,105,30,105,140,105,55,Blazing Pokémon,1.3 m,92.9 kg
658,555,Darmanitan(Galarian Standard Mode),Ice,,480,105,140,55,30,55,95,Zen Charm Pokémon,1.7 m,120.0 kg
659,555,Darmanitan(Galarian Zen Mode),Ice,Fire,540,105,160,55,30,55,135,Zen Charm Pokémon,1.7 m,120.0 kg
660,556,Maractus,Grass,,461,75,86,67,106,67,60,Cactus Pokémon,1.0 m,28.0 kg
661,557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,Rock Inn Pokémon,0.3 m,14.5 kg
662,558,Crustle,Bug,Rock,485,70,105,125,65,75,45,Stone Home Pokémon,1.4 m,200.0 kg
663,559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,Shedding Pokémon,0.6 m,11.8 kg
664,560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,Hoodlum Pokémon,1.1 m,30.0 kg
665,561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,Avianoid Pokémon,1.4 m,14.0 kg
666,562,Yamask,Ghost,,303,38,30,85,55,65,30,Spirit Pokémon,0.5 m,1.5 kg
667,562,Yamask(Galarian Yamask),Ground,Ghost,303,38,55,85,30,65,30,Spirit Pokémon,0.5 m,1.5 kg
668,563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,Coffin Pokémon,1.7 m,76.5 kg
669,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,Prototurtle Pokémon,0.7 m,16.5 kg
670,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,Prototurtle Pokémon,1.2 m,81.0 kg
671,566,Archen,Rock,Flying,401,55,112,45,74,45,70,First Bird Pokémon,0.5 m,9.5 kg
672,567,Archeops,Rock,Flying,567,75,140,65,112,65,110,First Bird Pokémon,1.4 m,32.0 kg
673,568,Trubbish,Poison,,329,50,50,62,40,62,65,Trash Bag Pokémon,0.6 m,31.0 kg
674,569,Garbodor,Poison,,474,80,95,82,60,82,75,Trash Heap Pokémon,1.9 m,107.3 kg
675,570,Zorua,Dark,,330,40,65,40,80,40,65,Tricky Fox Pokémon,0.7 m,12.5 kg
676,571,Zoroark,Dark,,510,60,105,60,120,60,105,Illusion Fox Pokémon,1.6 m,81.1 kg
677,572,Minccino,Normal,,300,55,50,40,40,40,75,Chinchilla Pokémon,0.4 m,5.8 kg
678,573,Cinccino,Normal,,470,75,95,60,65,60,115,Scarf Pokémon,0.5 m,7.5 kg
679,574,Gothita,Psychic,,290,45,30,50,55,65,45,Fixation Pokémon,0.4 m,5.8 kg
680,575,Gothorita,Psychic,,390,60,45,70,75,85,55,Manipulate Pokémon,0.7 m,18.0 kg
681,576,Gothitelle,Psychic,,490,70,55,95,95,110,65,Astral Body Pokémon,1.5 m,44.0 kg
682,577,Solosis,Psychic,,290,45,30,40,105,50,20,Cell Pokémon,0.3 m,1.0 kg
683,578,Duosion,Psychic,,370,65,40,50,125,60,30,Mitosis Pokémon,0.6 m,8.0 kg
684,579,Reuniclus,Psychic,,490,110,65,75,125,85,30,Multiplying Pokémon,1.0 m,20.1 kg
685,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,Water Bird Pokémon,0.5 m,5.5 kg
686,581,Swanna,Water,Flying,473,75,87,63,87,63,98,White Bird Pokémon,1.3 m,24.2 kg
687,582,Vanillite,Ice,,305,36,50,50,65,60,44,Fresh Snow Pokémon,0.4 m,5.7 kg
688,583,Vanillish,Ice,,395,51,65,65,80,75,59,Icy Snow Pokémon,1.1 m,41.0 kg
689,584,Vanilluxe,Ice,,535,71,95,85,110,95,79,Snowstorm Pokémon,1.3 m,57.5 kg
690,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,Season Pokémon,0.6 m,19.5 kg
691,586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,Season Pokémon,1.9 m,92.5 kg
692,587,Emolga,Electric,Flying,428,55,75,60,75,60,103,Sky Squirrel Pokémon,0.4 m,5.0 kg
693,588,Karrablast,Bug,,315,50,75,45,40,45,60,Clamping Pokémon,0.5 m,5.9 kg
694,589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,Cavalry Pokémon,1.0 m,33.0 kg
695,590,Foongus,Grass,Poison,294,69,55,45,55,55,15,Mushroom Pokémon,0.2 m,1.0 kg
696,591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,Mushroom Pokémon,0.6 m,10.5 kg
697,592,Frillish,Water,Ghost,335,55,40,50,65,85,40,Floating Pokémon,1.2 m,33.0 kg
698,593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,Floating Pokémon,2.2 m,135.0 kg
699,594,Alomomola,Water,,470,165,75,80,40,45,65,Caring Pokémon,1.2 m,31.6 kg
700,595,Joltik,Bug,Electric,319,50,47,50,57,50,65,Attaching Pokémon,0.1 m,0.6 kg
701,596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,EleSpider Pokémon,0.8 m,14.3 kg
702,597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,Thorn Seed Pokémon,0.6 m,18.8 kg
703,598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,Thorn Pod Pokémon,1.0 m,110.0 kg
704,599,Klink,Steel,,300,40,55,70,45,60,30,Gear Pokémon,0.3 m,21.0 kg
705,600,Klang,Steel,,440,60,80,95,70,85,50,Gear Pokémon,0.6 m,51.0 kg
706,601,Klinklang,Steel,,520,60,100,115,70,85,90,Gear Pokémon,0.6 m,81.0 kg
707,602,Tynamo,Electric,,275,35,55,40,45,40,60,EleFish Pokémon,0.2 m,0.3 kg
708,603,Eelektrik,Electric,,405,65,85,70,75,70,40,EleFish Pokémon,1.2 m,22.0 kg
709,604,Eelektross,Electric,,515,85,115,80,105,80,50,EleFish Pokémon,2.1 m,80.5 kg
710,605,Elgyem,Psychic,,335,55,55,55,85,55,30,Cerebral Pokémon,0.5 m,9.0 kg
711,606,Beheeyem,Psychic,,485,75,75,75,125,95,40,Cerebral Pokémon,1.0 m,34.5 kg
712,607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,Candle Pokémon,0.3 m,3.1 kg
713,608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,Lamp Pokémon,0.6 m,13.0 kg
714,609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,Luring Pokémon,1.0 m,34.3 kg
715,610,Axew,Dragon,,320,46,87,60,30,40,57,Tusk Pokémon,0.6 m,18.0 kg
716,611,Fraxure,Dragon,,410,66,117,70,40,50,67,Axe Jaw Pokémon,1.0 m,36.0 kg
717,612,Haxorus,Dragon,,540,76,147,90,60,70,97,Axe Jaw Pokémon,1.8 m,105.5 kg
718,613,Cubchoo,Ice,,305,55,70,40,60,40,40,Chill Pokémon,0.5 m,8.5 kg
719,614,Beartic,Ice,,505,95,130,80,70,80,50,Freezing Pokémon,2.6 m,260.0 kg
720,615,Cryogonal,Ice,,515,80,50,50,95,135,105,Crystallizing Pokémon,1.1 m,148.0 kg
721,616,Shelmet,Bug,,305,50,40,85,40,65,25,Snail Pokémon,0.4 m,7.7 kg
722,617,Accelgor,Bug,,495,80,70,40,100,60,145,Shell Out Pokémon,0.8 m,25.3 kg
723,618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,Trap Pokémon,0.7 m,11.0 kg
724,618,Stunfisk(Galarian Stunfisk),Ground,Steel,471,109,81,99,66,84,32,Trap Pokémon,0.7 m,20.5 kg
725,619,Mienfoo,Fighting,,350,45,85,50,55,50,65,Martial Arts Pokémon,0.9 m,20.0 kg
726,620,Mienshao,Fighting,,510,65,125,60,95,60,105,Martial Arts Pokémon,1.4 m,35.5 kg
727,621,Druddigon,Dragon,,485,77,120,90,60,90,48,Cave Pokémon,1.6 m,139.0 kg
728,622,Golett,Ground,Ghost,303,59,74,50,35,50,35,Automaton Pokémon,1.0 m,92.0 kg
729,623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,Automaton Pokémon,2.8 m,330.0 kg
730,624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,Sharp Blade Pokémon,0.5 m,10.2 kg
731,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,Sword Blade Pokémon,1.6 m,70.0 kg
732,626,Bouffalant,Normal,,490,95,110,95,40,95,55,Bash Buffalo Pokémon,1.6 m,94.6 kg
733,627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,Eaglet Pokémon,0.5 m,10.5 kg
734,628,Braviary,Normal,Flying,510,100,123,75,57,75,80,Valiant Pokémon,1.5 m,41.0 kg
735,629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,Diapered Pokémon,0.5 m,9.0 kg
736,630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,Bone Vulture Pokémon,1.2 m,39.5 kg
737,631,Heatmor,Fire,,484,85,97,66,105,66,65,Anteater Pokémon,1.4 m,58.0 kg
738,632,Durant,Bug,Steel,484,58,109,112,48,48,109,Iron Ant Pokémon,0.3 m,33.0 kg
739,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,Irate Pokémon,0.8 m,17.3 kg
740,634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,Hostile Pokémon,1.4 m,50.0 kg
741,635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,Brutal Pokémon,1.8 m,160.0 kg
742,636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,Torch Pokémon,1.1 m,28.8 kg
743,637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,Sun Pokémon,1.6 m,46.0 kg
744,638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,Iron Will Pokémon,2.1 m,250.0 kg
745,639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,Cavern Pokémon,1.9 m,260.0 kg
746,640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,Grassland Pokémon,2.0 m,200.0 kg
747,641,Tornadus(Incarnate Forme),Flying,,580,79,115,70,125,80,111,Cyclone Pokémon,1.5 m,63.0 kg
748,641,Tornadus(Therian Forme),Flying,,580,79,100,80,110,90,121,Cyclone Pokémon,1.4 m,63.0 kg
749,642,Thundurus(Incarnate Forme),Electric,Flying,580,79,115,70,125,80,111,Bolt Strike Pokémon,1.5 m,61.0 kg
750,642,Thundurus(Therian Forme),Electric,Flying,580,79,105,70,145,80,101,Bolt Strike Pokémon,3.0 m,61.0 kg
751,643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,Vast White Pokémon,3.2 m,330.0 kg
752,644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,Deep Black Pokémon,2.9 m,345.0 kg
753,645,Landorus(Incarnate Forme),Ground,Flying,600,89,125,90,115,80,101,Abundance Pokémon,1.5 m,68.0 kg
754,645,Landorus(Therian Forme),Ground,Flying,600,89,145,90,105,80,91,Abundance Pokémon,1.3 m,68.0 kg
